time [Myr],sac1 [m],sac2 [m],sac3 [m],sac4 [m],sac5 [m],sac6 [m],sac7 [m],sac8 [m],sac9 [m],sac10 [m],sac11 [m],sac12 [m],sac13 [m],sac14 [m],sac15 [m],sac16 [m],sac17 [m],sac18 [m],sac19 [m],sac20 [m],sac21 [m],sac22 [m],sac23 [m],sac24 [m],sac25 [m],sac26 [m],sac27 [m],sac28 [m],sac29 [m],sac30 [m]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.021432708455738,2.398129686914147,2.823098740322345,2.549420117193225,1.014852555438817,1.814542551498669,2.831538867850759,1.700889038686945,2.226368835987857,2.18625817174658,2.169516388034205,2.2148781866376197,1.5084931387946328,1.6286856160262753,1.2395541623163198,1.29974530036065,1.2113510656267823,1.1172810787403253,0.6184649398096017,0.3968157710293099,0.6113448596156187,0.46652855286497286,0.4856780235046292,0.7108474455603612,0.6787864006746993,0.28757670396514884,0.4767036373133868,0.3490904546118929,0.25302279452441145,0.6650356046737637
0.04,7.5503510959255316,5.523842851972246,5.361434229921734,4.551579709933881,3.197840004667234,3.6414667332510318,5.268975465308477,4.288040897210259,4.002075298522469,4.039754928120676,3.5635690012657992,2.9522168194179925,2.650909262112235,2.5734432099008107,1.8451238741358544,1.6264872949817402,1.6779621562280786,1.5954224306235478,1.2980557621697175,1.1953433725991138,1.2464939095617693,1.1658451046905742,1.2775680894718784,1.3790116849617182,1.1296339819793895,0.47049527774098115,1.274987866308463,0.8694892833462622,0.8938268342891666,1.1869139134750244
0.06,9.514234627850234,8.903870650388178,8.270954208287483,6.284057814154672,5.295998571901091,5.931437951889744,7.502831789324817,6.91117799555092,5.592222193651381,5.3794636696754115,5.015497569142142,4.188506277052732,3.3722527347715547,3.188699093023325,2.650243705952088,2.1984367774504125,1.9547509652994608,2.3362697415683695,1.9077475529920396,1.9396815311949582,1.7100313726558745,1.9550005116784288,1.513516360186764,1.9605840349645758,1.3816612569859885,0.627290382628233,1.5810310315198854,1.5010010258174034,1.4837734295697,1.5893021924650566
0.08,10.551663722955924,11.42414700035809,10.83039423758244,8.342327132014931,7.286586266257783,8.096490423500159,9.420970691158418,7.954233612612159,6.697866460564144,6.010921904016265,5.901266513172257,4.826050224986161,4.683871579334597,4.232488740664324,3.676440697239391,3.0246741520047262,2.6714969005639153,2.9004609567938133,2.722127526986881,2.2955939113559265,2.2281416476795295,2.6040115103939105,2.2537484870999256,2.3636577734095936,1.6974036493064502,1.1844848003298203,1.9424348240152671,1.9736709242670114,1.9117124161186716,1.8992931030822569
0.1,10.963260735389884,12.632983734301602,12.111927992675021,10.835871114506956,8.37985178650996,9.328220166063359,11.307152787156339,9.953437638053774,8.70205450850461,7.256552513685245,6.961877480212701,5.398506962738671,5.634928529514974,4.993954230868111,4.433291355740114,3.724116523047651,3.5903915006090252,3.381871023245311,3.445541883434868,2.7802463665228676,2.496573815700145,3.1645341707773675,2.9557561826405343,2.778295302718622,1.9295805582325525,1.722706116720207,2.2524127953853395,2.189522273743565,2.0172398454169587,2.2501538627632556
0.12,11.465271783136934,13.114066510418212,14.740149749176425,12.89486895200142,9.310012719591478,10.658610151839934,12.384876885211526,11.123500574770459,9.944833003038742,8.550662183407589,8.336291827374678,7.446054859113043,7.195950667457074,6.10173927943333,5.437050494996951,4.6634348326794015,4.047269351159472,4.057747476019475,3.783790202975298,3.098592139759604,2.993856587392594,3.831900345646276,3.55087204196812,3.107577469872072,2.279972342895261,2.594304612817558,2.6509962973442764,2.4358938549715607,2.8737290719380235,2.811535526906138
0.14,12.43716872455626,14.020012205479759,15.71820995519089,16.017517090028427,11.454587354768334,11.429267497325151,12.76330436954365,11.961383549562354,11.856985835895713,10.077051303551475,9.060300075321626,8.164630742752935,7.828542925076676,6.863435776265106,6.194107735992061,5.497898709810993,4.895409378744938,4.686806832182994,4.479803966228089,3.8412340989655247,3.7276887399518657,4.596328759461528,4.134778326874134,3.6879973968195836,2.982767320814396,3.075543158087469,3.2485452440151903,2.917673890096009,3.6405482542022582,3.1172934148105127
0.16,14.13691065607328,15.847905019503804,17.526737653199604,18.693698620672848,13.78731254202756,13.564214936080038,14.782110178876746,14.29752872535639,14.062239057370437,12.041098787640632,10.555012948429196,9.597801112474958,9.02537011463129,8.009613994549952,7.365005055803028,6.209686557098917,5.435340493507083,5.245622510763803,4.813774915060044,4.271776080489306,4.184977434006764,4.965685741514394,4.396025962527387,4.11395278585331,3.456045542230671,3.677557577715141,3.6473323742625694,3.07051702420009,3.8947761607384788,3.5654579034076774
0.18,16.671934846449712,18.566227242299757,20.12935536755848,20.7114833783567,15.964241905708377,14.761543748679728,16.254709718126662,16.87654093727421,15.852435443592883,13.226274799396705,11.891291661482695,10.989634888435328,10.212998650965805,9.305381604667472,8.357308273921268,6.943824538366445,6.3953873593384625,5.914146155651822,5.465342561891377,4.928029765599804,4.87284470537883,5.202593826940167,4.4922297891611915,4.187796299175648,3.66645007283157,4.0806362872169695,4.15325724453911,3.291659401121007,4.160674804078212,3.827202434858019
